Title,Plot
Kancheepurathe Kalyanam (കാഞ്ചീപുരത്തെ കല്യാണം),Kalarickal Achuthankutty (Suresh Gopi) and his brother-in-law Pattarumadom Najeeb (Mukesh) run rival
Bird in the Wire,"The film involves three women on a coat-hanger production line. After one sees a bird, she is inspired to make a coathanger in the shape of a bird in flight."
Romancing the Stone,"Joan Wilder is a successful but lonely romance novelist in New York City whose editor believes she is waiting to meet a romantic hero like the ones she writes about. Joan gets a call from her sister Elaine, who has been kidnapped by antiquities smugglers, cousins Ira and Ralph. As Joan leaves her apartment to meet her editor, Gloria, she is handed a letter containing a map, sent to her by her late brother-in-law, Eduardo. Returning to her apartment, she finds it ransacked and the apartment supervisor dead. Joan then receives a frantic phone call from Elaine (held at knife-point by Ira), who instructs Joan to go to Colombia with the map she received; it is Elaine's ransom. Flying to Colombia, Joan is detoured from the rendezvous point by Colonel Zolo, the man who killed Elaine's husband, Eduardo. He tricks her into boarding the wrong bus, heading deep into the interior of the country instead of to the coastal city of Cartagena, where Elaine is being held. When Joan distracts the bus driver by asking where they are going, the bus crashes into a Jeep, wrecking both vehicles. As the rest of the passengers walk away, Joan is menaced by Zolo but is saved by the Jeep's owner, American exotic bird smuggler Jack T. Colton. For getting her out of the jungle and to a telephone, Joan promises to pay Jack $375 in traveler's cheques. Jack and Joan travel the jungle while eluding the military police and Zolo, who wants the treasure map. After spending a night hiding in a marijuana smuggler's crashed C-47 aircraft, they encounter a drug lord named Juan, who is a big fan of Joan's novels and helps them escape from Zolo. After a night of dancing and passion in a nearby town, Jack suggests to Joan that they find the treasure themselves before handing over the map. They follow the clues and locate an enormous emerald called El Corazón (""The Heart""). Unbeknownst to Jack and Joan, they used Ralph's car for the last leg of their journey while Ralph was sleeping in the back. Ralph takes the emerald from them at gunpoint. When Zolo appears, Jack steals the jewel back, but Jack and Joan are chased into a river and go over a waterfall. They end up on opposite sides of the raging river; Joan has the map, but Jack has the emerald. Jack directs Joan to Cartagena, promising that he will meet her there. In Cartagena, Joan meets with Ira and Ralph, who are still holding Elaine, but the exchange is interrupted by Zolo and his men, who have also captured Jack. Jack surrenders the emerald to Zolo, but a crocodile bites off Zolo's hand and swallows it along with the emerald. As a gun battle takes place between Zolo's soldiers and Ira's gang, Joan and Elaine dash for safety, pursued by Zolo. Jack tries to stop the crocodile from escaping but lets it go when he sees that Joan is in danger. Zolo charges at Joan, who eventually dodges his wild knife slashes, knocking Zolo into the crocodile pit. Ira and his men escape, but Ralph is left behind as the authorities arrive. After a kiss, Jack dives into the water after the crocodile, leaving Joan behind with her sister. Some time later, Joan is back in New York City, delivering a new manuscript based on her adventure to Gloria, who is moved to tears by the story and tells Joan she has another best-seller on her hands. Returning home, she finds Jack waiting for her in a sailboat named the Angelina, after the heroine of Joan's novels, and wearing boots made from the crocodile's skin. He explains the crocodile died from ingesting the emerald and he had sold it, using the money to buy the boat of his dreams. They go off together, planning to sail around the world."
8 Heads in a Duffel Bag,"Tommy Spinelli (Joe Pesci) is a wiseguy hired by Benny and Rico, a pair of dimwitted hit men, to transport a duffel bag full of severed heads across the United States to a crime boss (as proof of the deaths). While on a commercial flight, his bag is accidentally switched with that of Charlie Pritchett (Andy Comeau), a friendly, talkative, young American tourist who is going to Mexico to see his girlfriend Laurie (Kristy Swanson) and her parents (George Hamilton and Dyan Cannon). The film revolves around Spinelli harassing Charlie's friends Ernie (David Spade) and Steve (Todd Louiso) for information, while Charlie and Laurie attempt to get rid of their rather unfortunate luggage. After Charlie meets with Laurie and her parents at the airport with the wrong bag, they go to their rooms at the resort in Acapulco, Mexico. Soon, Annette, Laurie's mom, mistakenly thinks that Charlie might be a serial killer on the run once she sees a head in his bag while hiding a gift for him inside the bag. Her husband thinks it's all a delusion brought on by her alcoholism. At first, Charlie and Laurie tried to bury the heads in the desert, but a group of thugs steals their car. Then Charlie comes up with an idea that he will give back the heads without anyone noticing, by pretending he forgot to turn in his report back at his college. In turn, everyone packs up for the airport. At the airport, Charlie accidentally puts a severed head in Dick's carry-on bag, causing him to get arrested. They never leave Acapulco since they have to come up with a new plan to save Dick. Meanwhile, Tommy, Ernie, and Steve start to look for replacement heads, after Charlie tells Tommy he lost one. They start to look in a cryonics lab, where they store bodies and severed heads, much to Tommy's approval. After getting the replacement heads, Tommy and the others get on a plane and head to Mexico. Tommy threatens Charlie that if he loses more heads, he'll replace them with Charlie's friends and family. After hearing of the airport incident, Benny and Rico decide to collect the heads for themselves. When Fern, Dick's mother, arrives in Mexico, Tommy takes her and the others hostage as he helps Charlie find more heads. They find out that a coyote took one of the heads from the stolen car. Tommy also realizes that Benny and Rico are going to kill him if he doesn't get the heads across the border in time. Charlie comes up with a plan to save both their lives. The film ends when Charlie and Laurie take a severed head to the airport to prove her father's innocence. Benny and Rico try to intervene, but end up getting arrested. It is revealed that Tommy and Charlie set them up. Charlie thanks him for his help, as Tommy departs to Hawaii. Steve goes insane and starts running around the airport, telling security guards that a severed head is his ""best friend"". Charlie and Laurie get married, with her mother and father present, Steve is in a straitjacket, Ernie is a brain surgeon, Fern is also present after being thrown out of a moving van when she started to bad-mouth Tommy, and Tommy is enjoying his retirement."
Poran Jai Jaliya Re,"The film follows the journey of a young man named Rabin (Shakib Khan), who meets three women at different stages of his life"
Wild Boys of the Road,"Tommy Gordon (Edwin Phillips) tells his friend Eddie Smith (Frankie Darro) that he is going to drop out of high school to look for work to help support his struggling family. Eddie offers to speak to his father (Grant Mitchell) about getting him a job, only to discover that his father has himself just lost his own. Eddie sells his beloved car and gives the money to his father, but when his father remains unemployed, the bills keep piling up, and the family is threatened with eviction. Eddie and Tommy decide to leave home to ease the burden on their families. They board a freight train, where they meet Sally (Dorothy Coonan), another teenager, who is hoping her aunt in Chicago can put her up for a while. More and more teens hop aboard the train. When they reach Chicago, they are met by the police. Most of the transients are sent to detention, but Sally has a letter from her aunt, so they let her through. She claims her companions are her cousins; the kindly policeman is skeptical, but lets them go. Sally's Aunt Carrie (Minna Gombell) welcomes all three into her apartment. However, before they even have a chance to eat, the place is raided by the police. The trio hastily depart and continue heading east. Nearing Cleveland, one girl, caught alone, is raped by the train brakeman (an uncredited Ward Bond). When the others find out, they start punching the assailant. By accident, the brakeman falls out of the train to his death. A little later, as the train approaches the city, everyone jumps off. Tommy hits his head on a switch and falls across the track in front of an oncoming train. He crawls desperately towards safety, but his foot gets mangled and his leg has to be amputated. They live in ""Sewer Pipe City"" for a while, until the city authorities decide to shut it down, in part due to Eddie's theft of a prosthetic leg for Tommy. Finally, the three end up living in the New York Municipal Dump. Eddie finally lands a job, but needs to find $3 to pay for a coat he has to have. They panhandle to raise the money. When two men offer Eddie $5 to deliver a note to a movie theater cashier across the street, he jumps at the chance. The note turns out to be a demand for money. Eddie is arrested, and the other two are taken in as well when they protest. The judge (Robert Barrat) cannot get any information out of them, particularly about their parents. However, Eddie's embittered speech moves him. He promises to get Eddie's job back for him and dismisses the charges. He also assures them that their parents will be back to work soon."
Return of the Fly,"Now an adult, Phillipe Delambre (Brett Halsey) is determined to vindicate his father by successfully completing the experiment he had worked on. His uncle Francois (Vincent Price) refuses to help. Phillipe hires Alan Hines from Delambre Frere and uses his own finances, but the funds run out before the equipment is complete. When Phillipe threatens to sell his half of Delambre Frere, Francois relents and funds the completion. After some adjustments, they use the transporter to ""store"" and later re-materialize test animals. Alan Hines turns out to be Ronald Holmes, an industrial spy. Holmes tries to sell the secrets to a shadowy cohort named Max. Before Holmes can get away with the papers, a British agent confronts him. Holmes knocks him out and uses the transporter to ""store"" the body. When rematerialized, the agent has the paws of a guinea pig that had been disintegrated earlier, and the guinea pig has human hands. Holmes kills the rodent and puts the dead agent in his car, which he sends into the Saint Lawrence River. Phillipe confronts Holmes about all the oddities, with a fight ensuing and Phillipe being knocked out. Holmes hides Phillipe the same way he did the agent, but in a twist of malice he catches a fly and adds it to the transporter with him. Francois re-materializes Phillipe, but with a fly head, arm and leg while the fly has his head, arm and leg, becoming ""PhillipeFly"". PhillipeFly runs into the night, tracking down and killing Max. He waits for Holmes to arrive and kills him, too. PhillipeFly returns home, where Inspector Beecham has found and captured the other PhillipeFly. Both are placed in the device together and successfully reintegrated."
The Horror Show,"Detective Lucas McCarthy (Lance Henriksen) finally catches the serial killer named ""Meat Cleaver Max"" (Brion James) who killed over 100 people and watches his execution. McCarthy and the others watching the execution are shocked to see the electric chair send enough voltage through him to physically burn Max's body before finally dying. However, Max has made a deal with the devil in order to return from the grave and frame Lucas for a series of grisly murders. He also scares the McCarthy family (who have moved into a new house) and the parapsychologist they hire. The parapsychologist tells Lucas that the only hope of stopping Max for good is to destroy his spirit before Max destroys his life and family. As the family move into their new home, Donna (Rita Taggart) searches the basement to find their cat named Gazmo, but it appears that Gazmo is missing. Every day their furnace turns on and flings the door open, with Max's spirit inside it and then he laughs. Lucas starts having hallucination’s by thinking the chicken is Max and shooting the TV into thinking that Max is on TV. Bonnie (Dedee Pfeiffer) goes to the cellar to secretly talk to her boyfriend Vinnie, who is later killed by Max by tricking him by Bonnie’s voice. The next night, Bonnie tells Scott (Aron Eisenberg) to come with her to look for Vinnie, while Lucas goes to the basement and gets angry with Max to stay away from his family. Lucas rushes upstairs to catch Bonnie and Scott, Donna spots them and tells Bonnie and Scott to get back to bed. The next time, Bonnie goes back to the basement and finds Vinnie's dead body. Lucas is framed for the murder and arrested as he was cleared of duty for two weeks. Max kills Scott with the meat cleaver, transforms into Bonnie’s body, kills the parapsychologist by decapitating him and holding Donna as hostage. Lucas escapes from the prison finds Scott and Bonnie and goes into the cellar, where he fights Max. Lucas sends Max to the electric machine in which his arm gets stuck into, Lucas and Donna use electrics to send more voltage into him. This causes him to appear back into the house where Lucas shoots him dead. The next day, the McCarthy’s are moving out with Scott still alive, where a guy sends Scott many more music CD’s from Texas. Bonnie goes into the basement and runs outside to find Gazmo in the box and Lucas, Gazmo, Bonnie and Scott stand together while Donna takes a photo where the screen freezes and fades to black."
The Star Maker,"Loosely based on the life of Gus Edwards, the film follows the career of aspiring song writer Larry Earl (Crosby) who gives up his job as a night clerk and marries Mary (Louise Campbell). He is anxious to get his songs published and buys a piano which they can ill afford. He sees children performing in the street and has an idea to develop and produce their talent on stage. Initially he cannot obtain any bookings but Mary persuades an agent to give her husband a chance. The one night try-out is a success and he forms ""Larry Earl Kiddie Productions"" which in due course has 14 productions running in various towns. Larry Earl opens a Broadway musical called ""School Days"", the crowning point of his career, but halfway through the first performance it is closed down by the Children's Welfare Society as they will not allow children under 12 years of age to work past 10 p.m. All of Earl's productions have to be closed down too. Earl had developed the career of Jane Gray (Linda Ware) and he transfers her contract to Walter Damrosch and she performs for him at Carnegie Hall. Later Earl realizes that he can still use children on radio and the film closes with him singing with a children's chorus on a radio show."
A Aa E Ee,"Subramaniam (Prabhu), an Ayurvedic physician is a much respected man in his village. His only daughter Anita (Monica) returns home from Chennai after completing a course in fashion designing. Having lost her mother at a very young age, Anita is close to her father and they share a special bond. Soon Anita’s marriage is fixed with Ilango (Aravind Akash), son of Vedachalam (Haneefa). While Vedachalam is a good-for-nothing chap, his son is a perfect match. Ilango falls in love with Anita. But Anita tells him of her past: her lover Akash (Navdeep) who had jilted her after a one night stand. Illango, though shattered meets Akash and tries to unite him with Anita. In this attempt, he finds himself falling in love with Anita’s cousin, Eshwari (Saranya Mohan). Now the story is about uniting the two pairs of lovers. Anita does not want to hurt her father with the knowledge of her past."
Money Talks,"Franklin Maurice Hatchett (Chris Tucker) is a small-time car wash hustler and ticket scalper who owes money to a local mob leader named Carmine (Damian Chapa). He gets dimed out to the police by an investigating news reporter named James Russell (Charlie Sheen) after unintentionally thwarting Russell's attempts to have him confess his crimes on camera, and is taken to jail. When placed on a prison transport unit, he is handcuffed to a French criminal named Raymond Villard. The transport unit is attacked on a bridge, with mercenaries killing all the police officers and prisoners except for Franklin and Villard; the mercenaries are Villard's men, but since he is handcuffed to Franklin he decides to bring him for the moment, and they escape on a helicopter with another French criminal named Dubray. While on the helicopter, Franklin overhears the two discussing the location of a cache of stolen diamonds. Franklin then jumps out of the helicopter after realizing that Villard and Dubray plan to kill him. While eating at a local diner, Franklin and Villard's mugshots are shown on the news as the two men who killed several police officers. Two other officers in the diner then recognize Franklin, and chase him into the street. He is able to elude them, and decides to call Russell after seeing his face on an advertisement. Russell has just been fired from his job at Channel 12 News after arguing with his manager, but convinces Franklin to hide with him since the next week is Sweeps Week. He arranges to get his job back, but plans to keep Franklin hidden until the following Monday. Together they attend Russell's wedding rehearsal dinner, where Franklin meets Russell's fiancé Grace (Heather Locklear), and somehow ingratiates himself to Grace's father (Paul Sorvino) and all the other guests by quoting Barry White and pretending to be Vic Damone's son. In the meantime, two police detectives question Franklin's girlfriend Paula (Elise Neal), and wiretap her phone. After calling Paula, Franklin tries to leave, but realizes that the police are combing the city for him, and convinces Russell to help him. The two rampage all over the city to find clues to clear Franklin's name, including calling a bomb threat on a European nightclub, getting shot at by the police when they visit Paula, and being chased by Villard and Dubray, who murder a shopkeeper in the process, which eventually gets Russell's name involved and spread all over the news. The two visit Franklin's childhood friend Aaron (Michael Wright), a local arms dealer, who gives them guns and promises to help if they get in trouble. The following morning, Franklin convinces Grace's father, under false pretenses and still pretending to be Vic Damone Jr, to take him to the auto expo where he overheard the Europeans had stashed the diamonds. Franklin and Grace's father get into a bidding war with Villard and Dubray over the car with the diamonds inside, which ends with Dubray chaotically chasing Franklin across the city while Villard kidnaps Russell. Villard then calls Franklin using Russell's phone, and demands the return of his diamonds, or Russell will die. Realizing that he has no chance on his own, Franklin calls the police detectives, Carmine, the French mercenaries, and Aaron, telling them all to meet him at the Los Angeles Memorial Coliseum. It is revealed that one of the detectives (Paul Gleason) is a dirty cop working for Villard. A massive shootout ensues in which both police detectives and Carmine and his crew are all wiped out. Aaron shows up with a henchman, an assault rifle, and an RPG, and proceeds to wipe out most of Villard's men, including Dubray. In the meantime, Russell manages to escape from Villard's men, after placing several un-pinned grenades beneath his helicopter, ready to detonate if he tries to take off. He then reunites with Franklin, saving him from being shot by Villard. However, when cornered once again, Franklin realizes the diamonds are not worth dying for, and throws them at Villard's remaining men, who drop their weapons and begin grabbing as many as they can. The police arrive in the meantime. Villard realizes he's lost and tries to escape in the helicopter. However, the grenades Russell placed there earlier detonate as he lifts off the ground, killing Villard. In the end both Franklin and Russell are cleared and branded heroes. Franklin saves an unknown amount of the diamonds and puts one on a wedding ring he gives to Russell, who marries Grace with Franklin as his best man. A recurring theme is the use of Barry White's song You're the First, the Last, My Everything; Franklin sings along in his car during the opening credits, and he recites the entire first verse at the rehearsal dinner, replacing the pronouns to match up with Russell and Grace."
Thappana (താപ്പാന),"Samson (Mammootty) and Mallika (Charmy Kaur) have just been released from prison. Samson is a small-time thief to whom prison is a ""second home"" while Mallika went to prison for murdering someone to save her husband from being killed. Samson falls in love with the girl at first sight. He decides to accompany her on the journey back home, but during the entire journey, Mallika is absolutely quiet and refuses to utter a word to him. She seems depressed and lonely. Shocking things await her when she reaches her home in Karippa to meet her husband Manikuttan/Kannukuttan (Murali Gopy). Kannukuttan was having an affair with their neighbour's wife, and it was the jealous husband who had wanted to kill Kannukuttan. Mallika gives quotation to Samson for killing Kannukuttan. Samson, after some brilliant plots and a fight sequence, defeats Kannukuttan, but never killed him. Later he tells Mallika that he doesn't want to go back to prison again for killing him, because he fell in love with Mallika and he want to live a new life with her. Mallika, realising Samson's love for the first time, agrees and goes with him in the end."
Life Express,"Mumbai-based Tanvi Sharma, married to Financer, Nikhil, for 3 years, is thrilled when she is not only promoted as Assistant Vice-President with her employer, ICBI Bank, but also tests positive for motherhood. But her joy will be short-lived when she must abort the child as it comes in the way of her promotion as Vice-President - the venue to power, position and wealth - as well as incur the wrath of Nikhil. The duo do make up, and decide to have a child through a surrogate who will live with them during the pregnancy period. A broker, Shukla, arranges a surrogate, Gauri, an impoverished village-based mother of two children, and the wife of an unemployed idol-artist, Mohan. While dealing with pressures of the stigma attached of nursing a child sired through another woman from family and friends, she must also deal with the fact that a naive Gauri may decide to keep the child. [1]"
Jeene Ki Arzoo,Jeene Ki Arzoo is an action film starring Mithun Chakraborty and Rakesh Roshan in the leads.
Start the Revolution Without Me,"Two sets of identical twins, played by Wilder and Sutherland, are accidentally switched at birth. One set, Phillipe and Pierre DeSisi, is aristocratic and haughty, while the other set, Charles and Claude Coupé, is poor and dim-witted. On the eve of the French Revolution, both sets find themselves entangled in palace intrigues."
Spyder,"Shiva (Mahesh Babu), an officer in the Intelligence Bureau office, spies on people's calls and messages to help them if needed. He developed a software to listen to the needing ones by tracking their phones. On the night of March 16th, he listens to a lady named Charlie (Rakul Preet Singh) talking about her wish on getting 98% in her exams from 96% to get a USA Scholarship with her friend. In order to do that, she decides to get concentration by knowing a guy. Shiva goes and follows her and Charlie starts to fall in love but Shiva does not as his main focus is to help people. On the night of April 28th, he listens to a young girl asking her friend for help as she is alone in her house and scared because there is no current in her house whilst everyone else on her street does. Shiva sends his friend and new police constable, Renuka, to help the girl. However the next day, a news channel declares that the two are killed. Shiva goes to the site and finds that its been a brutal murder. To know who murdered them, he sets out to 'spy' the girl's chats and whereabouts. He finds that a guy followed her at a cafe. Through technology, he find someone who knows the guy. He then travels to the village where the guy grew up from, through the person who knew the guy. From a long-living villager, he learns the past about the guy, Bhairavudu/Sudalai (S. J. Surya). He has an anxiety to kill people and see the victims' family crying. One day, a village kid sees him killing a person and tells the other villagers. They decide to burn Bhairavudu/Sudalai's house, which his parents died from. Angry, he left the village to continue his anxiety with his younger brother. Shiva manages to catch him but instead he reveals to be Bhairavudu's/ Sudalai’s younger brother (Bharath). Bhairavudu reveals that he killed 23 people and hid their bodies in 23 pillars of a bridge and threatens the whole citizens to leave his brother free. He also reveals that he plans to destroy a hospital. Shiva, though, kills Bharaivadu’s/ Sudalai’s brother in front of the 23 people's families, including an angry Bhairavudu/Sudalai. Bhairavudu/ Sudalai plans to kill Shiva's family. Shiva finds out when his mother (Dheepa Ramanujam) calls him and tells him that she is scared because there is no current in their house whilst everyone else on the street does, exactly the same as what the girl had said earlier. Shiva manages to save his family through his workmates. Then, Bhairavudu/ Sudalai tries to kill Shiva on his way home, which Shiva gets stabbed through his body from a rod on a truck. He slowly recovers and gets back on getting Bhairavadu/Sudalai. Because Shiva had shot him before he fell unconscious, he thinks Bhairavudu/Sudalai has hidden himself in a house. With the help of the local ladies, Shiva finds, catches and arrests Bhairavadu/Sudalai, but Bhairavudu/Sudalai tells him that he had already planned a big rock fall in the city which starts in 20 minutes. Shiva manages to stop the big rock, with the number of cars that were already there and a truck he managed to get in place. Meanwhile, Bhairavudu/Sudalai escapes from the police quarters and continues with his plan on destroying a hospital. Shiva finds out from Charlie which hospital it is and who Bhairavudu/Sudalai is planning with. He reaches there just before the building collapses. He saved as many as he could but couldn't save some patients which he feels heartbroken for. Lastly, Shiva finally kills Bhairavudu/Sudalai and tells media that ""We have only killed the patient, but not the disease."", ""Helping people you don’t know is the greatest happiness in the world."" and, ""We shouldn’t use technology all the time, because we don’t have time to spend with others."" The movie ends with Shiva walking with Charlie out of the crowd."
Organ,"Two undercover detectives, Numata and Tosaka, infiltrate a plastic covered den where they discover a gang of organ thieves led by the teacher Saeki and his one-eyed sister Yoko who are cutting open a victim who is still alive. After a gun battle ensues, Tosaka is captured and Numata escapes. Saeki works at a girls' school where he offers private lessons to teens whom he later harvests for organs. We learn later that Saeki's mother bit off his genitals when he was young and, like his victims, Saeki is now rotting away."
Do Gaz Zameen Ke Neeche,"Rajvansh, a rich widower and young scientist rescues a woman named Anjali and marries her. She forces her husband to fulfill her maternal uncle's demands for money all the time. Unwillingly, he consents. He soon realizes that his marriage is a failure because his wife and her uncle try to extort money from him all the time. One day, he rescues a woman named Meera and while she is unconscious, he gets her to his home. He nurses her to good health with the help of his two faithful servants. Meera starts respecting and idolizing her master, but faces the wrath of Anjali. Anjali constantly taunts Meera and Rajvansh. Frustrated by all this, Rajvansh keeps working in his laboratory which is set up at his home. One day while working some drops of chemical spill in his milk and he unknowingly drinks it. He becomes very ill. Anjali is least concerned. Rajvansh loses his ability to walk. Meera nurses him and constantly prays to God to make him well soon. Rajvansh's friend and family doctor advises him to get admitted to the hospital for better treatment, for which Anjali flatly refuses stating he will never recover in the hospital and she will search for a better doctor for him. In the meantime, Anjali meets her old lover Anand with the help of her uncle and convinces him to stay at her home as a doctor and pretend to treat Rajvansh. She romances Anand behind Rajvansh's back. One day, Rajvansh catches them red-handed. Anjali compels Anand to kill Rajvansh for his property and they put his corpse in a big iron box and bury him in the graveyard with the help of Joseph (gravedigger). Soon, they realize the key to the safe which contains lots of cash and money is missing. The search proves futile when they soon realize the key is in the coat of Rajvansh, who is dead and lies 6 feet under the ground. Soon Rajvansh returns as a zombie, to revenge his death. Scientist Rajvansh makes a plot to kill his wife, her boyfriend and maternal uncle who had betrayed him for money."
Godspell,"The structure of the musical is, in large part, retained: a series of parables from the gospel of Matthew, interspersed with musical numbers. Many of the scenes take advantage of well-known sites around an empty, still New York City. John the Baptist gathers a diverse band of youthful disciples to follow and learn from the teachings of Jesus. These disciples then proceed to form a roving acting troupe that enacts Jesus's parables through the streets of New York. They often make references to vaudeville shtick."
Delhi Safari,"Delhi Safari[5] is the story of a journey undertaken by a leopard cub, his mother, a monkey, a bear and a parrot when the forest they live in is on the verge of destruction. Builders have encroached upon their forest and the animals decide to go to Delhi and protest in front of the parliament and ask the parliament some very simple yet pertinent questions they were thinking of– why has man become the most dangerous animal? Doesn't man understand that if the forests and the animals don't co-exist with humans, the balance of the ecosystem will be endangered? The film starts with Yuvraj (or 'Yuvi', for short) (Swini Khara in the Original Hindi Version) saying that he lost his father, Sultan (Sunil Shetty) in the morning, but doesn't want to lose his home at any cost. The film carries a flashback of the morning with Yuvi and Sultan playing in the forest and Sultan teaching self defence to Yuvi while his mother, Begum (Urmila Matondkar) enters. The two mock her for her too much caring attitude towards son that gets Begum angry and she goes. Soon, Begum forgives Sultan and Yuvraj (following a song - her one weakness). However, while coming back, a whole pack of bulldozers come from nowhere and proceed to demolish the surrounding jungle. Begum manages to escape, but Yuvi and Sultan are trapped. The two try to protest bulldozers but land at a site in the forest where they see all the trees missing. In a bid to save Yuvi, Sultan catches Yuvi in his mouth and tosses him to Begum. However, he himself is killed by a human wielding a shotgun, making the whole forest a large enemy of the humans. A talk happens with attendants of all the animals in the area. Many believe that leaving their homes is the only way to survive; however, Bajrangi, a monkey (Govinda), says that he would beat out the wits of those men with his so called ""vanarsena” - Marela (Sanjai Mishra) and Bharela (Saurabh Shukla), but Bagga the bear (Boman Irani) advices him to talk to humans and Bajrangi asks whether there is anyone who knows the language of humans. A white bird, seemingly a pigeon, Hawa Hawaai(Deepak Dobriyal) pipes up, saying he knows someone who knows both animal and human languages. Yuvi meets the white bird the next day, and asks who is the one he said about. The white bird says the animal he spoke of is Alex (Akshaye Khanna), a parrot who lives with a director, Vikram Khosla. Bajrangi, his ""army"" of two monkeys, Hawa Hawaai, Bagga and Yuvi go and kidnap the parrot and convince him to go to Delhi with them to talk to the parliament and save their land. Initially refusing, Alex agrees to go to Delhi. Begum, Bagga, Bajrangi and his army board a train to Delhi from Mumbai. After some time Yuvi joins them and Alex refuses to continue until Bajrangi drops his weapons,which he reluctantly does after Bagga hangs him upside down. They then reach Gujarat with guidance of road from Raju, a bat.In Gujarat they meet flamingos and a couple who give them shelter in their homes. One of the flamingos strictly advices them not to cross the banyan tree to avoid the wolf Kaalia (Prem Chopra) and his gang. But Bajrangi goes there and ties Alex using a rope for Kaalia to kill him so that no one can doubt him. Yuvi spots Bajrangi and confronts him but they are spotted by Kaalia. Begum arrives in time to save them. After this incident Alex pretends to have lost his voice. The animals consult a doctor Jadibuti Baba a turtle who advices some ayurvedic medicines of sandalwood, rose, guava to recover Alex's voice, claiming that he has hypertension, stress and high blood pressure. Bajrangi wholeheartedly does the hard work, sometimes himself getting injured. One day he gets to know that Alex was just pretending and chases him leading himself to inadvertently hit a beehive. All the animals run with bees chasing them. A thrilling experience of trains follows after which Bajrangi tells Alex how guilty he feels of thinking to kill him. Alex also realizes how selfish he was and decides to help animals to help them to justice. Begum tells that no one is going to Delhi after listening to a tiger's story of how he only survived death at a human's hands by being a coward and forsaking his old ways; thankfully, following a pep talk and seeing Sultan's spirit and Yuvi who inspires them, Begum changes her mind and with renewed hope, proceeds to Delhi. They finally reach Delhi and tell their message through Alex to the Prime Minister of the country that they want peace between humans and animals and how this young little cub Yuvi inspired all of them to go to Delhi despite all the incidents. In the last scene, it is shown the jungle is saved courtesy of a shared land act (with the area being called the ""Sanjay Gandhi National Park-Borivali"") and all are happy and settled.The film ends with all animals settled in the Jungle with Yuvi seeing his father's spirit and Begum together happy and Yuvi smiling."
